STATIONS_ID;MESS_DATUM;  QN;PP_10;TT_10;TM5_10;RF_10;TD_10;eor
       3925;201905290000;    2;   -999;  10.5;  10.7;  87.6;   8.5;eor
       3925;201905290010;    2;   -999;  10.7;  10.6;  84.2;   8.1;eor
       3925;201905290020;    2;   -999;  10.7;  10.6;  83.9;   8.1;eor
       3925;201905290030;    2;   -999;  10.8;  10.6;  82.4;   7.9;eor
       3925;201905290040;    2;   -999;  10.7;  10.5;  82.1;   7.8;eor
       3925;201905290050;    2;   -999;  10.6;  10.4;  82.2;   7.7;eor
       3925;201905290100;    2;   -999;  10.4;  10.3;  83.7;   7.8;eor
       3925;201905290110;    2;   -999;  10.3;  10.2;  83.8;   7.7;eor
       3925;201905290120;    2;   -999;  10.2;  10.1;  83.8;   7.6;eor
       3925;201905290130;    2;   -999;  10.1;  10.1;  84.3;   7.6;eor
       3925;201905290140;    2;   -999;  10.2;  10.1;  82.8;   7.4;eor
       3925;201905290150;    2;   -999;  10.0;  10.0;  84.9;   7.6;eor
       3925;201905290200;    2;   -999;   9.9;   9.8;  84.7;   7.4;eor
       3925;201905290210;    2;   -999;   9.9;   9.8;  85.1;   7.5;eor
       3925;201905290220;    2;   -999;   9.9;   9.8;  84.6;   7.4;eor
       3925;201905290230;    2;   -999;   9.9;   9.9;  85.6;   7.6;eor
       3925;201905290240;    2;   -999;  10.0;   9.9;  85.0;   7.6;eor
       3925;201905290250;    2;   -999;  10.0;  10.1;  85.4;   7.7;eor
       3925;201905290300;    2;   -999;  10.0;  10.2;  86.4;   7.8;eor
       3925;201905290310;    2;   -999;  10.0;  10.3;  86.2;   7.8;eor
       3925;201905290320;    2;   -999;  10.0;  10.3;  85.7;   7.7;eor
       3925;201905290330;    2;   -999;  10.0;  10.3;  87.3;   8.0;eor
       3925;201905290340;    2;   -999;  10.0;  10.2;  87.4;   8.0;eor
       3925;201905290350;    2;   -999;   9.9;  10.2;  87.7;   8.0;eor
       3925;201905290400;    2;   -999;   9.9;  10.3;  88.3;   8.1;eor
       3925;201905290410;    2;   -999;   9.9;  10.4;  88.3;   8.1;eor
       3925;201905290420;    2;   -999;   9.9;  10.4;  87.7;   8.0;eor
       3925;201905290430;    2;   -999;  10.0;  10.6;  88.2;   8.1;eor
       3925;201905290440;    2;   -999;  10.0;  10.7;  87.6;   8.0;eor
       3925;201905290450;    2;   -999;  10.1;  10.9;  87.4;   8.1;eor
       3925;201905290500;    2;   -999;  10.1;  11.1;  87.1;   8.1;eor
       3925;201905290510;    2;   -999;  10.2;  11.4;  86.9;   8.1;eor
       3925;201905290520;    2;   -999;  10.3;  11.6;  86.6;   8.2;eor
       3925;201905290530;    2;   -999;  10.4;  11.7;  85.9;   8.1;eor
       3925;201905290540;    2;   -999;  10.4;  11.8;  86.3;   8.2;eor
       3925;201905290550;    2;   -999;  10.4;  11.7;  85.9;   8.1;eor
       3925;201905290600;    2;   -999;  10.4;  11.6;  86.8;   8.3;eor
       3925;201905290610;    2;   -999;  10.3;  11.5;  86.9;   8.2;eor
       3925;201905290620;    2;   -999;  10.4;  11.7;  87.2;   8.4;eor
       3925;201905290630;    2;   -999;  10.6;  11.9;  87.4;   8.6;eor
       3925;201905290640;    2;   -999;  10.5;  12.6;  87.8;   8.6;eor
       3925;201905290650;    2;   -999;  10.6;  13.2;  86.7;   8.5;eor
       3925;201905290700;    2;   -999;  10.5;  12.8;  88.2;   8.6;eor
       3925;201905290710;    2;   -999;  10.5;  12.6;  89.0;   8.8;eor
       3925;201905290720;    2;   -999;  11.3;  14.8;  87.5;   9.3;eor
       3925;201905290730;    2;   -999;  11.4;  14.7;  85.4;   9.0;eor
       3925;201905290740;    2;   -999;  11.5;  14.5;  84.8;   9.0;eor
       3925;201905290750;    2;   -999;  11.6;  14.9;  86.4;   9.4;eor
       3925;201905290800;    2;   -999;  11.9;  15.3;  84.6;   9.4;eor
       3925;201905290810;    2;   -999;  11.8;  14.4;  83.7;   9.1;eor
       3925;201905290820;    2;   -999;  12.0;  15.4;  82.2;   9.1;eor
       3925;201905290830;    2;   -999;  12.0;  16.0;  81.1;   8.9;eor
       3925;201905290840;    2;   -999;  12.7;  16.4;  77.0;   8.8;eor
       3925;201905290850;    2;   -999;  12.5;  16.7;  76.7;   8.5;eor
       3925;201905290900;    2;   -999;  12.8;  16.7;  76.4;   8.8;eor
       3925;201905290910;    2;   -999;  13.3;  17.7;  76.5;   9.3;eor
       3925;201905290920;    2;   -999;  12.8;  16.8;  74.8;   8.4;eor
       3925;201905290930;    2;   -999;  13.1;  16.8;  74.7;   8.7;eor
       3925;201905290940;    2;   -999;  13.4;  17.2;  73.7;   8.8;eor
       3925;201905290950;    2;   -999;  13.2;  17.2;  74.2;   8.7;eor
       3925;201905291000;    2;   -999;  13.2;  17.2;  70.8;   8.0;eor
       3925;201905291010;    2;   -999;  13.3;  17.0;  68.4;   7.6;eor
       3925;201905291020;    2;   -999;  13.2;  16.4;  69.2;   7.7;eor
       3925;201905291030;    2;   -999;  13.1;  16.5;  72.2;   8.2;eor
       3925;201905291040;    2;   -999;  12.6;  15.4;  73.0;   7.9;eor
       3925;201905291050;    2;   -999;  12.8;  15.8;  75.0;   8.5;eor
       3925;201905291100;    2;   -999;  13.0;  16.3;  74.4;   8.6;eor
       3925;201905291110;    2;   -999;  12.6;  15.3;  76.4;   8.6;eor
       3925;201905291120;    2;   -999;  12.4;  14.7;  80.6;   9.2;eor
