STATIONS_ID;MESS_DATUM;  QN;PP_10;TT_10;TM5_10;RF_10;TD_10;eor
       3925;201906060000;    2;   -999;  18.5;  17.7;  72.9;  13.6;eor
       3925;201906060010;    2;   -999;  18.1;  17.4;  76.5;  13.9;eor
       3925;201906060020;    2;   -999;  17.9;  17.6;  78.8;  14.2;eor
       3925;201906060030;    2;   -999;  17.6;  17.2;  81.4;  14.4;eor
       3925;201906060040;    2;   -999;  17.6;  17.3;  81.3;  14.4;eor
       3925;201906060050;    2;   -999;  17.6;  17.2;  80.5;  14.2;eor
       3925;201906060100;    2;   -999;  17.3;  16.5;  81.4;  14.1;eor
       3925;201906060110;    2;   -999;  17.1;  16.5;  80.3;  13.7;eor
       3925;201906060120;    2;   -999;  16.8;  16.4;  81.7;  13.7;eor
       3925;201906060130;    2;   -999;  16.7;  16.4;  80.1;  13.3;eor
       3925;201906060140;    2;   -999;  16.3;  15.9;  79.5;  12.8;eor
       3925;201906060150;    2;   -999;  16.0;  15.7;  80.1;  12.6;eor
       3925;201906060200;    2;   -999;  15.6;  15.7;  81.4;  12.4;eor
       3925;201906060210;    2;   -999;  15.2;  15.4;  81.6;  12.1;eor
       3925;201906060220;    2;   -999;  14.9;  15.2;  83.0;  12.0;eor
       3925;201906060230;    2;   -999;  14.5;  14.9;  82.5;  11.6;eor
       3925;201906060240;    2;   -999;  14.0;  14.4;  81.5;  10.9;eor
       3925;201906060250;    2;   -999;  13.8;  14.1;  81.9;  10.8;eor
       3925;201906060300;    2;   -999;  13.6;  13.9;  81.8;  10.6;eor
       3925;201906060310;    2;   -999;  13.5;  13.8;  81.4;  10.4;eor
       3925;201906060320;    2;   -999;  13.3;  13.7;  82.6;  10.4;eor
       3925;201906060330;    2;   -999;  13.3;  13.7;  83.5;  10.6;eor
       3925;201906060340;    2;   -999;  13.1;  13.6;  83.6;  10.4;eor
       3925;201906060350;    2;   -999;  13.0;  13.5;  82.5;  10.1;eor
       3925;201906060400;    2;   -999;  12.9;  13.3;  82.5;  10.0;eor
       3925;201906060410;    2;   -999;  12.8;  13.3;  83.2;  10.0;eor
       3925;201906060420;    2;   -999;  12.8;  13.2;  80.7;   9.6;eor
       3925;201906060430;    2;   -999;  12.7;  13.2;  80.8;   9.5;eor
       3925;201906060440;    2;   -999;  12.6;  13.4;  82.0;   9.6;eor
       3925;201906060450;    2;   -999;  12.6;  13.3;  80.7;   9.4;eor
       3925;201906060500;    2;   -999;  12.6;  13.3;  79.8;   9.2;eor
       3925;201906060510;    2;   -999;  12.4;  13.2;  79.6;   9.0;eor
       3925;201906060520;    2;   -999;  12.5;  13.4;  80.8;   9.3;eor
       3925;201906060530;    2;   -999;  12.4;  13.4;  79.2;   8.9;eor
       3925;201906060540;    2;   -999;  12.5;  13.6;  75.6;   8.3;eor
       3925;201906060550;    2;   -999;  12.7;  14.0;  77.0;   8.8;eor
       3925;201906060600;    2;   -999;  12.3;  13.7;  76.1;   8.2;eor
       3925;201906060610;    2;   -999;  12.3;  13.8;  78.3;   8.6;eor
       3925;201906060620;    2;   -999;  12.2;  13.5;  78.5;   8.6;eor
       3925;201906060630;    2;   -999;  12.1;  13.4;  78.3;   8.4;eor
       3925;201906060640;    2;   -999;  11.9;  13.2;  76.9;   8.0;eor
       3925;201906060650;    2;   -999;  11.8;  13.3;  76.2;   7.8;eor
       3925;201906060700;    2;   -999;  11.8;  13.1;  77.5;   8.0;eor
       3925;201906060710;    2;   -999;  11.7;  13.0;  77.3;   7.9;eor
       3925;201906060720;    2;   -999;  11.6;  13.1;  77.3;   7.8;eor
       3925;201906060730;    2;   -999;  11.7;  13.1;  77.5;   7.9;eor
       3925;201906060740;    2;   -999;  11.4;  12.8;  78.0;   7.7;eor
       3925;201906060750;    2;   -999;  11.4;  12.6;  79.0;   7.9;eor
       3925;201906060800;    2;   -999;  11.6;  13.0;  75.6;   7.4;eor
       3925;201906060810;    2;   -999;  11.5;  13.1;  76.8;   7.6;eor
       3925;201906060820;    2;   -999;  11.5;  12.7;  76.2;   7.5;eor
       3925;201906060830;    2;   -999;  11.4;  13.0;  74.8;   7.1;eor
       3925;201906060840;    2;   -999;  11.6;  13.3;  75.5;   7.4;eor
       3925;201906060850;    2;   -999;  11.5;  13.0;  77.0;   7.6;eor
       3925;201906060900;    2;   -999;  11.5;  13.0;  76.8;   7.6;eor
       3925;201906060910;    2;   -999;  11.6;  12.9;  74.2;   7.2;eor
       3925;201906060920;    2;   -999;  11.5;  12.9;  74.0;   7.0;eor
       3925;201906060930;    2;   -999;  11.6;  12.9;  74.7;   7.3;eor
       3925;201906060940;    2;   -999;  11.6;  12.6;  73.4;   7.0;eor
       3925;201906060950;    2;   -999;  11.6;  12.8;  73.5;   7.0;eor
       3925;201906061000;    2;   -999;  11.8;  14.0;  74.9;   7.5;eor
       3925;201906061010;    2;   -999;  11.9;  13.8;  72.0;   7.0;eor
       3925;201906061020;    2;   -999;  11.8;  13.7;  72.5;   7.0;eor
       3925;201906061030;    2;   -999;  12.0;  14.1;  72.9;   7.3;eor
       3925;201906061040;    2;   -999;  12.0;  13.9;  72.8;   7.3;eor
       3925;201906061050;    2;   -999;  11.9;  13.5;  73.5;   7.3;eor
